Brand,Weight,SoC,CPU,GPU,RAM,Storage,Memory cards,Display,Battery,OS,Camera,SIM card,Wi-Fi,USB,Bluetooth,Positioning,priceUrl,imageUrl,name
lava,175 g,MediaTek MT6735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","1 GB, 640 MHz",8 GB,"microSD, microSDHC, microSDXC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","2600 mAh, Li-Polymer",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/5faa3e7d/320/main.jpg,X28;
lava,,MediaTek MT6580,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Ion",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1280 x 720 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/beef3e0c,https://www.devicespecifications.com/images/model/beef3e0c/320/main.jpg,P7+;
lava,116 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",512 MB,8 GB,"microSD, microSDHC","4 in, TFT, 480 x 800 pixels, 24 bit","1300 mAh, Li-Ion",Android 5.1 Lollipop,"1600 x 1200 pixels, 640 x 480 pixels, 30 fps",Mini-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",2.1,A-GPS,,https://www.devicespecifications.com/images/model/cfe03de2/320/main.jpg,A48 8GB;
lava,,,"ARM Cortex-A53, 1000 MHz, Cores: 4","ARM Mali-T720 MP2, 400 MHz, Cores: 2","1 GB, 533 MHz",8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","4000 mAh, Li-Polymer",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/0bf33d9b,https://www.devicespecifications.com/images/model/0bf33d9b/320/main.jpg,X38;
lava,130 g,Spreadtrum SC7731G,"ARM Cortex-A7, 1200 MHz, Cores: 4","ARM Mali-400 MP2, 400 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","4.5 in, TFT, 480 x 800 pixels, 24 bit","1750 mAh, Li-Ion",Android 6.0 Marshmallow,"2592 x 1944 pixels, 1280 x 720 pixels, 30 fps",Mini-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/d7b23d4e/320/main.jpg,A68;
lava,,Spreadtrum SC9832,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, 512 MHz, Cores: 2",1 GB,8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2350 mAh, Li-Polymer",Android 6.0 Marshmallow,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",https://www.devicespecifications.com/en/price/29d13d40,https://www.devicespecifications.com/images/model/29d13d40/320/main.jpg,X17;
lava,155 g,Spreadtrum SC8830,"ARM Cortex-A7, 1300 MHz, Cores: 4","ARM Mali-400 MP2, Cores: 2",2 GB,8 GB,"microSD, microSDHC","5.5 in, IPS, 720 x 1280 pixels, 24 bit","2800 mAh, Li-Polymer",Android 5.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/77ec3d3d/320/main.jpg,X50;
lava,320 g,Intel Atom Z3735F,"Intel Bay Trail, 1830 MHz, Cores: 4","Intel HD Graphics, 646 MHz","1 GB, 1333 MHz",16 GB,"microSD, microSDHC","8 in, IPS, 1280 x 800 pixels, 24 bit","4200 mAh, Li-Polymer",Android 4.4 KitKat,2592 x 1944 pixels,,"b, g, n","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/02ac3d23/320/main.jpg,X80;
lava,,MediaTek MT6735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","3 GB, 640 MHz",16 GB,"microSD, microSDHC, microSDXC","5 in, IPS, 720 x 1280 pixels, 24 bit","2700 mAh, Li-Polymer",Star OS 3.0 (Android 6.0 Marshmallow),"4160 x 3120 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS, GLONASS",https://www.devicespecifications.com/en/price/c9ba3c7e,https://www.devicespecifications.com/images/model/c9ba3c7e/320/main.jpg,X81;
lava,146 g,MediaTek MT6735,"ARM Cortex-A53, 1300 MHz, Cores: 4","ARM Mali-T720 MP2, 600 MHz, Cores: 2","2 GB, 640 MHz",8 GB,"microSD, microSDHC","5 in, IPS, 720 x 1280 pixels, 24 bit","2500 mAh, Li-Polymer",Android 5.1 Lollipop,"3264 x 2448 pixels, 1920 x 1080 pixels, 30 fps",Micro-SIM,"b, g, n, Wi-Fi Hotspot","2.0, Micro USB",4.0,"GPS, A-GPS",,https://www.devicespecifications.com/images/model/267f3c75/320/main.jpg,X46;
